,feature,tfidf
0,eyes look,0.26887188454437416
1,mustard chinese,0.26887188454437416
2,coated hot,0.26887188454437416
3,chinese spots,0.26887188454437416
4,like coated,0.26887188454437416
5,nigga eyes,0.26887188454437416
6,spots lastdance,0.26887188454437416
7,hot mustard,0.26887188454437416
8,coated,0.25076006670386325
9,mustard,0.25076006670386325
